speech,category,count,total_words,percent
trump-victory,TrnGain,1,1759,0.06
trump-rnc,TrnLoss,2,4455,0.04
trump-nc-speech,TrnLoss,1,3602,0.03
trump-announcesprezrun,TrnLoss,0,6358,0.0
trump-immigration-speech,TrnLoss,0,6885,0.0
trump-inaugural,TrnLoss,0,1459,0.0
trump-victory,TrnLoss,0,1759,0.0
trump-inaugural,Try,1,1459,0.07
trump-victory,Try,1,1759,0.06
trump-announcesprezrun,Try,2,6358,0.03
trump-immigration-speech,Try,2,6885,0.03
trump-nc-speech,Try,1,3602,0.03
trump-rnc,Try,0,4455,0.0
trump-victory,Undrst,5,1759,0.28
trump-inaugural,Undrst,4,1459,0.27
trump-immigration-speech,Undrst,13,6885,0.19
trump-nc-speech,Undrst,7,3602,0.19
trump-rnc,Undrst,8,4455,0.18
trump-announcesprezrun,Undrst,10,6358,0.16
trump-inaugural,Vary,1,1459,0.07
trump-immigration-speech,Vary,3,6885,0.04
trump-nc-speech,Vary,1,3602,0.03
trump-announcesprezrun,Vary,1,6358,0.02
trump-rnc,Vary,1,4455,0.02
trump-victory,Vary,0,1759,0.0
trump-announcesprezrun,Vehicle,4,6358,0.06
trump-immigration-speech,Vehicle,1,6885,0.01
trump-inaugural,Vehicle,0,1459,0.0
trump-nc-speech,Vehicle,0,3602,0.0
trump-rnc,Vehicle,0,4455,0.0
trump-victory,Vehicle,0,1759,0.0
trump-rnc,Vice,32,4455,0.72
trump-nc-speech,Vice,20,3602,0.56
trump-immigration-speech,Vice,26,6885,0.38
trump-announcesprezrun,Vice,23,6358,0.36
trump-inaugural,Vice,4,1459,0.27
trump-victory,Vice,2,1759,0.11
trump-inaugural,Virtue,22,1459,1.51
trump-victory,Virtue,16,1759,0.91
trump-rnc,Virtue,34,4455,0.76
trump-immigration-speech,Virtue,40,6885,0.58
trump-nc-speech,Virtue,20,3602,0.56
trump-announcesprezrun,Virtue,17,6358,0.27
trump-nc-speech,Weak,16,3602,0.44
trump-rnc,Weak,18,4455,0.4
trump-immigration-speech,Weak,20,6885,0.29
trump-victory,Weak,5,1759,0.28
trump-inaugural,Weak,4,1459,0.27
trump-announcesprezrun,Weak,14,6358,0.22
trump-inaugural,WlbGain,1,1459,0.07
trump-immigration-speech,WlbGain,1,6885,0.01
trump-announcesprezrun,WlbGain,0,6358,0.0
trump-nc-speech,WlbGain,0,3602,0.0
trump-rnc,WlbGain,0,4455,0.0
trump-victory,WlbGain,0,1759,0.0
trump-rnc,WlbLoss,1,4455,0.02
trump-announcesprezrun,WlbLoss,0,6358,0.0
trump-immigration-speech,WlbLoss,0,6885,0.0
trump-inaugural,WlbLoss,0,1459,0.0
trump-nc-speech,WlbLoss,0,3602,0.0
trump-victory,WlbLoss,0,1759,0.0
trump-inaugural,WlbPhys,6,1459,0.41
trump-nc-speech,WlbPhys,6,3602,0.17
trump-rnc,WlbPhys,7,4455,0.16
trump-immigration-speech,WlbPhys,10,6885,0.15
trump-announcesprezrun,WlbPhys,7,6358,0.11
trump-victory,WlbPhys,2,1759,0.11
trump-inaugural,WlbPsyc,2,1459,0.14
trump-nc-speech,WlbPsyc,5,3602,0.14
trump-immigration-speech,WlbPsyc,5,6885,0.07
trump-rnc,WlbPsyc,3,4455,0.07
trump-announcesprezrun,WlbPsyc,2,6358,0.03
trump-victory,WlbPsyc,0,1759,0.0
trump-inaugural,WlbPt,2,1459,0.14
trump-rnc,WlbPt,3,4455,0.07
trump-nc-speech,WlbPt,2,3602,0.06
trump-immigration-speech,WlbPt,3,6885,0.04
trump-announcesprezrun,WlbPt,0,6358,0.0
trump-victory,WlbPt,0,1759,0.0
trump-inaugural,WlbTot,11,1459,0.75
trump-nc-speech,WlbTot,13,3602,0.36
trump-rnc,WlbTot,14,4455,0.31
trump-immigration-speech,WlbTot,19,6885,0.28
trump-announcesprezrun,WlbTot,9,6358,0.14
trump-victory,WlbTot,2,1759,0.11
trump-rnc,WltOth,19,4455,0.43
trump-announcesprezrun,WltOth,23,6358,0.36
trump-nc-speech,WltOth,10,3602,0.28
trump-inaugural,WltOth,4,1459,0.27
trump-immigration-speech,WltOth,15,6885,0.22
trump-victory,WltOth,3,1759,0.17
trump-immigration-speech,WltPt,2,6885,0.03
